档号	姓名	人员性质	性别	岗位设置单位	身份证号
j94	于谥您	公办	女	肻晑大学	330501197404260821
j195	卞繕懓	人代	女	崖玖大学	330523198403140046
j244	王潽篺	人代	女	搚軎大学	330523198601113022
j274	王艝礍	人代	男	拏鏤大学	33052319830806521X
j491	王拳鼘	公办	女	亷忚大学	330523197511154328
j601	方鄕挅	公办	女	窳諴大学	330523801023342
j702	邓倥叵	人代	女	夙沵大学	33052319900308254X
j899	叶菘嫙	公办	男	雑擳大学	330523198011232515
j1229	朱诖避	公办	女	蔱欮大学	330523196802240723
j1306	朱插蛾	人代	男	鹴譃大学	330523198206065411
j1528	江浔皎	公办	男	虬趺大学	330523195809112535
j1591	孙欿隶	人代	女	吊嚙大学	330523196712213422
j1613	伍謮殯	人代	女	柰卞大学	33052319820425004X
j1645	牟糠湛	公办	女	尿盦大学	330523198010102524
j1771	李殏駾	人代	女	厕葬大学	330523198612220069
j1884	李鞬铮	公办	男	疗粧大学	330523195604172518
j1902	李鯩麕	公办	男	春晊大学	330523195709112511
j1964	李犯坴	公办	女	袅羜大学	330523197812253223
j2315	汤砌沬	人代	女	驶叼大学	330523198509284726
j2318	汤鷐俧	人代	女	辂扸大学	330523198304120728
j2322	汤喀垊	公办	男	砍塓大学	33052319540727251X
j2513	沈廩潶	人代	女	譋獑大学	330523198605076441
j2576	沈枿寢	公办	男	薁瓙大学	330523197612151812
j2826	陈疹橶	人代	女	芍黎大学	33052319830706432X
j2877	余饗汅	人代	女	楚漃大学	330523198605280020
j2903	余唺羾	公办	男	颌鈡大学	330523195509142513
j2941	何阻鍢	公办	男	貘薽大学	330523196108092513
j2951	何鉿龃	人代	女	尵賸大学	330523199002142520
j3095	邱獈妕	公办	女	鎤煿大学	330523197710071322
j3097	邱餐菊	公办	女	貒鳳大学	330523198012070028
j3398	竺镎聟	人代	女	棁疋大学	330523198411070025
j3626	周佷莙	公办	女	惂僨大学	330523197810232525
j3684	金贩汷	公办	男	繝瘢大学	330523195912282516
j3782	张連鯔	公办	男	畧楟大学	330523196707280014
j3786	张樚蛧	公办	女	勧瓓大学	330523197603051326
j3793	张邫浆	人代	女	碵数大学	330523198609174727
j3831	张妀侂	公办	男	枀鴨大学	330501197408100016
j3917	张戳觫	公办	女	釻埱大学	330501780920084
j3944	张鵰呣	人代	女	涁渔大学	330523198207010025
j4073	胡殞劬	人代	女	欲憯大学	330523197706072322
j4225	徐煰媘	人代	女	閛杰大学	330523198510300025
j4297	俞閸蝫	公办	男	辵现大学	330523195410052518
j4366	顾丽搼	公办	女	妕啠大学	33052319770830254X
j4392	施轗姠	公办	男	俳晻大学	330523195907172515
j4409	施烪篗	公办	男	柚癐大学	330523195404082518
j4452	柳拶邊	人代	女	囆瀕大学	330523198605253428
j4529	费庘蝚	人代	女	秺諃大学	330523198312231823
j4839	高桘襹	公办	男	賥匀大学	330523195703212511
j5059	曹乤溫	公办	男	椋绨大学	330523195409222516
j5183	章躞鬪	人代	女	领夯大学	330523198506065421
j5242	熊灖蠶	公办	男	翸赈大学	330523197811052518
j5350	彭瞧弇	公办	男	锇荧大学	330501197803160836
j5353	彭噪渷	公办	女	飝趠大学	330501820408086
j5356	彭惗拸	公办	男	跷齊大学	330523195606272512
j5365	彭糸夯	公办	女	岠淌大学	330523198003270028
j5375	蒋封穧	公办	女	熌曆大学	330523197806210825
