班级	考号	姓名	语文100	数学100	英语100	科学100	社会100	平均分	总分
701	1	彭皹瞓	88	94	97	93	96	93.6	468
701	2	沈箲舻	84	95	97	100	100	95.2	476
701	6	陈緷毚	86	99	93	98	90	93.2	466
701	4	施磵愱	91	91	94	89	96	92.2	461
701	5	徐懼緇	88	89	96	96	96	93	465
701	10	钱沖醻	87	94	99	85	97	92.4	462
701	23	周焷手	87	85	99	93	96	92	460
701	57	沈鈫匡	87	93	79	100	93	90.4	452
701	13	陈殲瓫	87	91	91	96	90	91	455
701	15	顾髱咁	83	94	81	95	94	89.4	447
701	9	刘麵荢	81	86	89	96	100	90.4	452
701	3	王趑湶	87	89	81	94	92	88.6	443
701	22	耿佹憲	74	88	99	84	94	87.8	439
701	8	李蠫硓	84	85	80	80	86	83	415
701	11	施煷舝	81	85	86	91	82	85	425
701	12	王鯛瘖	80	77	82	89	87	83	415
701	24	殷戔詅	84	74	90	91	80	83.8	419
701	16	章桫輶	83	65	87	89	90	82.8	414
701	14	章迡邿	76	74	68	96	97	82.2	411
701	26	宋緢魚	78	88	93	81	87	85.4	427
701	7	王瀯鯌	85	72	73	84	92	81.2	406
701	19	顾啉芳	77	66	79	82	89	78.6	393
701	18	周埯傲	68	80	84	77	87	79.2	396
701	25	郭鞍抰	76	80	82	78	84	80	400
701	21	姬蟕园	74	58	68	82	93	75	375
701	33	钱聫栢	77	76	79	75	74	76.2	381
701	30	徐襾檮	77	63	73	83	76	74.4	372
701	29	沈靰堑	78	71	54	81	82	73.2	366
701	27	吴捓漜	77	61	62	91	88	75.8	379
701	17	钱鳤葌	78	66	63	81	90	75.6	378
701	56	朱呦挱	73	77	55	80	80	73	365
701	20	钱圌缭	70	71	75	76	73	73	365
701	28	叶豐緛	71	74	49	86	86	73.2	366
701	36	余鲣车	67	50	79	79	86	72.2	361
701	34	刘海恵	70	56	64	73	88	70.2	351
701	35	唐歩隊	67	72	58	79	78	70.8	354
701	38	卢哿螓	65	52	79	76	76	69.6	348
701	31	章扌涩	74	56	71	73	67	68.2	341
701	32	章鲅嫾	72	31	83	72	71	65.8	329
701	41	敖楖蘤	70	36	51	73	69	59.8	299
701	42	周翶比	72	33	39	76	69	57.8	289
701	37	敖軂飯	61	42	53	60	57	54.6	273
701	40	钱珰溎	69	35	51	60	54	53.8	269
701	46	殷算榆	67	19	46	64	55	50.2	251
701	39	章灹郑	67	28	32	64	51	48.4	242
701	43	顾羮点	62	39	39	46	50	47.2	236
701	45	施勃椬	52	21	42	45	63	44.6	223
701	47	黄驻趿	64	27	42	46	44	44.6	223
701	44	杨祠蠇	57	44	51	30	31	42.6	213
701	54	吴拂薕	46	26	49	39	27	37.4	187
701	53	孙蠯腽	44	12	23	45	53	35.4	177
701	49	沈縌籈	50	20	25	38	47	36	180
701	52	陈杛蛹	33	17	31	44	20	29	145
701	50	王狁藏	34	21	23	28	32	27.6	138
701	51	王眨殖	38	15	6	31	37	25.4	127
701	48	相膧儒	35	31	33	26	24	29.8	149
701	55	杨话隴	30	4	15	20	21	18	90
702	01	钱埖洶	91	97	95	96	100	95.8	479
702	02	施湊獞	83	77	95	91	91	87.4	437
702	03	敖徵齎	83	87	96	97	94	91.4	457
702	04	徐戄諉	89	87	89	98	99	92.4	462
702	05	潘坏鮄	85	81	98	93	97	90.8	454
702	06	任躵窘	85	88	88	91	90	88.4	442
702	07	张頸蛀	79	78	82	85	80	80.8	404
702	08	钱覐袿	85	86	95	90	94	90	450
702	09	王弁津	85	63	77	86	83	78.8	394
702	10	王吗燘	81	85	95	94	82	87.4	437
702	11	章笴齨	79	100	93	99	96	93.4	467
702	12	莫蒢矁	80	81	97	87	91	87.2	436
702	13	蔡犄造	86	56	93	86	74	79	395
702	14	施譌惆	74	69	89	88	88	81.6	408
702	15	王历痩	70	49	64	82	78	68.6	343
702	16	章驙鬩	83	74	76	93	86	82.4	412
702	17	沈蔴泠	61	76	50	75	60	64.4	322
702	18	郑肫槑	81	85	85	86	93	86	430
702	19	钱浇擫	74	70	55	80	76	71	355
702	20	敖铐嚗	83	61	61	85	88	75.6	378
702	21	沈袖嗊	68	60	75	73	58	66.8	334
702	22	钱哣悙	78	80	65	86	90	79.8	399
702	23	张暛鍪	66	70	50	68	58	62.4	312
702	24	沈啵针	83	47	83	70	66	69.8	349
702	25	申荶阜	80	26	64	77	75	64.4	322
702	26	段菂嵗	74	73	60	63	77	69.4	347
702	27	杨囲贏	78	65	61	74	63	68.2	341
702	28	朱殤螩	79	53	49	84	87	70.4	352
702	29	沈褃碣	79	56	85	71	77	73.6	368
702	30	张濱髇	72	61	86	76	74	73.8	369
702	31	章媍祛	62	55	82	67	67	66.6	333
702	32	陈軱徢	74	71	78	84	80	77.4	387
702	33	邰桩肚	65	53	67	71	60	63.2	316
702	34	钱卻獍	69	54	73	50	61	61.4	307
702	35	施骨煜	70	42	68	80	64	64.8	324
702	36	蒋钗洘	69	64	67	59	61	64	320
702	37	罗堏堞	64	33	74	54	52	55.4	277
702	38	葛嵈灝	62	32	45	49	31	43.8	219
702	39	钱鵎笻	72	18	53	62	50	51	255
702	40	顾蔝粏	69	48	49	68	77	62.2	311
702	41	郑狒鰳	67	24	53	52	62	51.6	258
702	42	钱簧嚼	55	28	46	57	48	46.8	234
702	43	杨竆负	51	24	69	67	56	53.4	267
702	44	付姏哄	73	30	54	59	63	55.8	279
702	45	姬赆驇	48	22	42	48	52	42.4	212
702	46	黎匓绀	51	46	57	53	49	51.2	256
702	47	林肽婥	40	23	38	46	40	37.4	187
702	48	叶襭窌	48	39	36	61	57	48.2	241
702	49	张貟睷	58	46	24	52	51	46.2	231
702	50	杨乧恱	48	10	43	25	28	30.8	154
702	51	金栂匜	48	26	26	71	40	42.2	211
702	52	莫睧鵻	44	22	44	45	53	41.6	208
702	53	马運帬	30	13	31	36	21	26.2	131
702	54	朱麽盲	11	18	39	32	30	26	130
702	55	施箄緓	75	86	61	91	96	81.8	409
702	56	施莗稄	5	25	7	26	20	16.6	83
703	4	章薔琁	91	93	93	88	91	91.2	456
703	6	王詃噏	81	92	87	98	96	90.8	454
703	2	陈粹棖	85	98	93	92	89	91.4	457
703	5	沈漣鬟	87	88	93	97	92	91.4	457
703	12	施饪曖	90	80	86	98	99	90.6	453
703	1	陆郶甘	85	91	95	91	87	89.8	449
703	13	钟鶝鐵	76	85	89	83	91	84.8	424
703	3	吴夼斧	88	88	89	75	87	85.4	427
703	22	陆住鋉	86	86	90	86	74	84.4	422
703	7	钱褏胸	82	67	95	84	77	81	405
