序号	姓名	年龄	性别	语文	数学	英语	科学
1	项琘垥	10	1	61	60	90	68
2	项琛垦	13	0	88	92	70	71
3	项琚垧	13	1	91	96	45	93
4	项琝垠	10	0	85	55	64	60
5	项琜垡	8	1	88	61	33	49
6	项琟垢	13	0	89	86	89	58
7	项琞垣	15	1	96	21	86	69
8	项琑垬	10	0	64	50	70	58
9	项琐垭	16	0	71	29	96	89
10	项琓垮	16	0	62	79	37	79
11	项琒垯	15	1	54	55	30	83
12	项琕垨	16	1	70	76	74	63
13	项琔垩	10	0	78	13	79	82
14	项琗垪	11	0	96	46	86	48
15	项琖垫	12	0	81	20	58	59
16	项琉垴	8	1	58	45	60	90
17	项琈垵	13	1	51	17	30	86
18	项琋垶	11	0	59	88	72	70
19	项琊垷	16	0	76	20	46	96
20	项琍垰	13	1	52	93	64	43
21	项琌垱	13	0	85	58	97	80
22	项琏垲	13	1	91	98	75	47
23	项琎垳	13	0	64	42	58	48
24	项琁垼	15	0	81	37	98	66
25	项琀垽	13	0	95	95	81	93
26	项球垾	16	0	62	83	56	100
27	项琂垿	13	1	86	13	36	50
28	项琅垸	13	1	58	73	73	52
29	项琄垹	16	0	80	25	95	97
30	项琇垺	15	0	88	77	100	41
31	项理垻	10	1	73	10	62	54
32	项琹垄	16	1	97	23	75	97
33	项琸垅	12	1	61	30	40	44
34	项琻垆	13	1	70	21	100	92
35	项琺垇	15	0	61	53	67	91
36	项琽垀	14	1	84	65	94	43
37	项琼垁	12	0	64	64	63	42
38	项琿垂	8	0	96	68	53	48
39	项琾垃	14	0	63	10	38	49
40	项琱垌	16	0	52	80	88	70
41	项琰垍	8	0	71	10	41	46
42	项琳垎	11	1	83	11	56	46
43	项琲垏	9	0	66	42	94	70
44	项琵垈	12	1	63	48	50	77
45	项琴垉	14	0	56	14	84	75
46	项琷垊	16	0	100	44	46	45
47	项琶型	8	0	61	53	59	95
48	项琩垔	15	1	83	61	42	67
49	项琨垕	15	0	98	22	56	85
50	项琫垖	16	1	75	90	54	47
51	项琪垗	16	0	56	97	100	53
52	项琭垐	12	0	55	83	88	83
53	项琬垑	8	1	66	27	47	82
54	项琯垒	11	1	67	91	55	43
55	项琮垓	12	0	76	94	45	79
56	项琡垜	9	1	100	48	66	78
57	项琠垝	9	0	67	74	43	93
58	项琣垞	10	0	50	25	93	94
59	项琢垟	11	0	76	100	86	55
60	项琥垘	15	0	77	73	32	42
61	项琤垙	8	0	74	23	45	100
62	项琧垚	10	1	55	94	80	60
63	项琦垛	9	0	76	18	69	91
64	项瑙埤	13	0	83	82	84	68
65	项瑘埥	9	0	75	69	56	100
66	项瑛埦	12	1	93	15	53	83
67	项瑚埧	14	1	50	76	85	54
68	项瑝埠	12	1	82	65	69	85
69	项瑜埡	15	0	83	39	71	60
70	项瑟埢	8	0	91	79	39	89
71	项瑞埣	14	1	74	27	65	46
72	项瑑埬	16	0	100	40	31	47
73	项瑐埭	8	1	59	43	61	47
74	项瑓埮	8	0	50	93	51	62
75	项瑒埯	14	1	100	59	40	69
76	项瑕埨	12	1	75	26	92	80
77	项瑔埩	14	0	92	31	82	47
78	项瑗埪	8	0	58	92	38	99
79	项瑖埫	10	0	65	44	31	76
80	项瑉埴	14	0	97	36	61	40
81	项瑈埵	14	0	63	64	92	55
82	项瑋埶	13	1	67	92	90	79
83	项瑊執	11	1	91	61	95	62
84	项瑍埰	9	1	98	89	37	80
85	项瑌埱	9	0	83	68	52	49
86	项瑏埲	15	0	78	67	66	60
87	项瑎埳	15	1	52	66	33	79
88	项瑁埼	12	0	69	83	94	77
89	项瑀埽	15	0	70	30	77	93
90	项瑃埾	9	0	78	12	32	44
91	项瑂埿	16	1	84	94	50	90
92	项瑅埸	10	1	63	97	81	88
93	项瑄培	16	0	83	70	72	60
94	项瑇基	11	0	98	68	57	82
95	项瑆埻	15	0	78	74	87	76
96	项瑹埄	12	0	61	32	34	82
97	项瑸埅	12	1	92	42	65	68
98	项瑻埆	14	1	87	71	73	100
99	项瑺埇	14	0	94	32	62	76
100	项瑽埀	11	0	77	14	44	97
